Date,Tweet,City,Country,random #
Tue Mar 27 18:55:08 +0000 2018,"  Draymond Green’s physical challenges, in order, that we know of: R shoulder, pelvis, flu. Knees flare up too. Pretty mu…",none,none,0.80637732
Tue Apr 24 18:09:37 +0000 2018,"Kaia says, “I just finished my flu vaccine series! Have you heard about Canine Flu? Ask your other family doctor at BVC about it today!” ",none,none,0.918268322
Tue Apr 03 18:47:18 +0000 2018,"you’ve heard of the freshmen few but, have you yet experienced the finals flu?",none,none,0.631639353
Tue Mar 27 18:34:52 +0000 2018,If I’m getting the stomach flu pls just kill me,none,none,0.400320716
Tue Mar 27 18:36:49 +0000 2018,Not yet ,none,US,0.804937767
Tue Apr 24 18:05:02 +0000 2018," Ha! Perfect.  (No joke) I'm blocked by Eric Trump, Sebastian Gorka, &amp; Scott Baio.  It's sort of like learning Bird Flu hates you.   *Good.* Stay away.",none,none,0.579791266
Tue Apr 17 16:38:12 +0000 2018,"  Barclays, which said bitcoin behaves like a flu, a bubble, and all the nasty things one can say about the market, is ap…",none,none,0.765702333
Thu Apr 19 18:23:36 +0000 2018,"I'm flu flammin I ain't never had to cracc cards, it was all for the cash flow",none,none,0.042882612
Fri Mar 30 18:34:13 +0000 2018,"               Yeah, actually, I do.  It reduces the severity of the flu, should you catch it, and you help protect others who can't get the shot.",none,none,0.81282457
Mon Apr 23 18:53:12 +0000 2018,  not to be dramatic but i have the flu and i’m probably going to die.  i need a hug.,none,none,0.399052634
Tue Apr 17 16:39:38 +0000 2018,I feel like I have the flu and my whole body is aching. I don’t have a legit will stashed away anywhere but let this tweet state that I want all my belongings passed on to my son (cat) Chester. Thank you,none,none,0.540247651
Wed Apr 18 18:49:37 +0000 2018,Finishing up all the homeworks then I’ll go to sleep may my flu getting better bcs my voice is no longer my voice anymore hahahahahahah,none,none,0.008519242
Tue Apr 03 18:26:11 +0000 2018,  Status updates for tonight's game at Oklahoma City: Kevin Durant (right rib soreness) &amp; Klay Thompson (fractured right thum…,none,none,0.642051066
Tue Apr 17 16:45:12 +0000 2018,"  Barclays, which said bitcoin behaves like a flu, a bubble, and all the nasty things one can say about the market, is ap…",none,none,0.455192147
Mon Apr 16 18:46:23 +0000 2018,  Join  and  in an exciting project to help enhance community surveillance of #flu in the Hoosier…,none,none,0.793852214
Wed Mar 28 18:41:17 +0000 2018,Higher prices help foie gras farmers overcome bird flu crises ,none,none,0.540903379
Tue Mar 27 18:17:26 +0000 2018,"  Draymond Green’s physical challenges, in order, that we know of: R shoulder, pelvis, flu. Knees flare up too. Pretty mu…",none,none,0.285652138
Tue Apr 03 18:53:01 +0000 2018,"  Oh YES...  Flu Vaccines help less than 2% of those vaccinated.  BECAUSE THE BAD GUYS DON'T RAT ON THEMSELVES, WE DON'T HE…",none,none,0.158298313
Wed Mar 28 18:29:00 +0000 2018,Got tickets to see  tomorrow night so naturally I'm coming down with some flu-like virus. ,none,GB,0.709615517
Mon Apr 02 19:10:21 +0000 2018,"Me and my tiredness,flu and headache waiting on  I just can't miss it ey... ",none,none,0.368615033
Sat Mar 31 21:51:17 +0000 2018,  Hi friends Many are preparing to travel and visit with family/friends during the spring break &amp; holiday season. Please be…,none,none,0.630728935
Wed May 02 18:17:27 +0000 2018,I’m legit making plans for my death because I’m pretty sure I’m gonna be one of the few people that dies from the flu. This bitch is coming at me HARD.,none,none,0.592403036
Tue Mar 27 18:36:49 +0000 2018,same  ,Mount Vista,none,0.574671606
Wed Apr 18 18:49:13 +0000 2018,When rana was pretty much dying of flu 2 days ago and now she's been found out by everyone not even so much as a sniffle of a cold  #CoronationStreet,none,none,0.279734851
Thu Apr 19 18:18:26 +0000 2018,  Lovely Harrison enjoys human company and fuss so much he will dribble and purr!! He has had cat flu since being with us an…,none,none,0.103974123
Thu Apr 05 18:09:43 +0000 2018,  Bear flu is no joke  #TBT #ThrowbackThursday #WeBareBears ,none,none,0.786335695
